Timestamp (ISO 8601),Distance (cm),Fullness (%),Lid Status,CPU Temp (°C)
2025-11-24T05:40:46.994Z,16,5,CLOSED,53.33
2025-11-24T05:41:01.723Z,16,5,CLOSED,53.33
2025-11-24T05:41:16.910Z,16,5,CLOSED,53.33
2025-11-24T05:41:31.890Z,16,5,CLOSED,53.33
2025-11-24T05:41:46.923Z,16,5,CLOSED,53.33
2025-11-24T05:42:01.790Z,16,5,CLOSED,53.33
2025-11-24T05:42:17.134Z,16,5,CLOSED,53.33
2025-11-24T05:42:31.807Z,16,5,CLOSED,53.33
2025-11-24T05:42:46.810Z,16,5,CLOSED,36.11
2025-11-24T05:43:02.322Z,16,5,CLOSED,53.33
2025-11-24T05:43:17.164Z,16,5,CLOSED,53.33
2025-11-24T05:43:32.479Z,16,5,CLOSED,53.33
2025-11-24T05:43:47.400Z,16,5,CLOSED,53.33
2025-11-24T05:44:01.950Z,16,5,CLOSED,37.22
2025-11-24T05:44:16.870Z,16,5,CLOSED,53.33
2025-11-24T05:44:31.863Z,16,5,CLOSED,53.33
2025-11-24T05:44:46.790Z,16,5,CLOSED,53.33
